algorithm_name,run_n,explored_states,solution_found
BFS,1,3819,True
DFS,1,3236,True
DLS,1,3236,True
UCS,1,3909,True
BFS,2,3972,True
DFS,2,1717,True
DLS,2,1717,True
UCS,2,981,True
BFS,3,8823,True
DFS,3,4002,True
DLS,3,4002,True
UCS,3,3965,True
BFS,4,5131,True
DFS,4,4438,True
DLS,4,4438,True
UCS,4,8050,True
BFS,5,8787,True
DFS,5,3795,True
DLS,5,3795,True
UCS,5,2466,True
BFS,6,6419,True
DFS,6,3562,True
DLS,6,3562,True
UCS,6,5801,True
BFS,7,6311,True
DFS,7,3047,True
DLS,7,3047,True
UCS,7,6276,True
BFS,8,6750,True
DFS,8,2658,True
DLS,8,2658,True
UCS,8,996,True
BFS,9,1365,True
DFS,9,6271,True
DLS,9,5000,False
UCS,9,8106,True
BFS,10,2369,True
DFS,10,865,True
DLS,10,865,True
UCS,10,4690,True
BFS,11,4556,True
DFS,11,5876,True
DLS,11,5000,False
UCS,11,7046,True
BFS,12,4547,True
DFS,12,7181,True
DLS,12,5000,False
UCS,12,7224,True
BFS,13,7594,True
DFS,13,2866,True
DLS,13,2866,True
UCS,13,1240,True
BFS,14,9023,True
DFS,14,7451,True
DLS,14,5000,False
UCS,14,6155,True
BFS,15,5733,True
DFS,15,732,True
DLS,15,732,True
UCS,15,7360,True
BFS,16,5317,True
DFS,16,5763,True
DLS,16,5000,False
UCS,16,4224,True
BFS,17,6398,True
DFS,17,1973,True
DLS,17,1973,True
UCS,17,5121,True
BFS,18,1123,True
DFS,18,7609,True
DLS,18,5000,False
UCS,18,3283,True
BFS,19,398,True
DFS,19,939,True
DLS,19,939,True
UCS,19,151,True
BFS,20,8877,True
DFS,20,3834,True
DLS,20,3834,True
UCS,20,2777,True
BFS,21,5847,True
DFS,21,1185,True
DLS,21,1185,True
UCS,21,5407,True
BFS,22,3488,True
DFS,22,5743,True
DLS,22,5000,False
UCS,22,1062,True
BFS,23,6703,True
DFS,23,876,True
DLS,23,876,True
UCS,23,9179,True
BFS,24,4008,True
DFS,24,881,True
DLS,24,881,True
UCS,24,1069,True
BFS,25,8742,True
DFS,25,4492,True
DLS,25,4492,True
UCS,25,8540,True
BFS,26,3966,True
DFS,26,663,True
DLS,26,663,True
UCS,26,2289,True
BFS,27,2584,True
DFS,27,6847,True
DLS,27,5000,False
UCS,27,482,True
BFS,28,3478,True
DFS,28,375,True
DLS,28,375,True
UCS,28,8570,True
BFS,29,5002,True
DFS,29,3354,True
DLS,29,3354,True
UCS,29,5695,True
BFS,30,937,True
DFS,30,8032,True
DLS,30,5000,False
UCS,30,4907,True
